,アルバムID,属性,ﾚｱ,称号,名前,+,ｺｽﾄ,アルバム攻,アルバム守,MAX攻,MAX守,MAX確認,MAX攻/ｺｽﾄ,MAX守/ｺｽﾄ,特技名,対象属性,攻守,効果,備考,重複
,1000101,Cu,N,,島村卯月,,2,160,240,420,630,×,210.0,315.0,-,-,-,-,,
,1000201,Cu,N,,中野有香,,2,240,160,630,420,○,315.0,210.0,-,-,-,-,,
,1000301,Cu,N,,水本ゆかり,,3,240,360,630,945,×,210.0,315.0,-,-,-,-,,
,1000401,Cu,N,,福山舞,,4,320,480,840,1260,×,210.0,315.0,-,-,-,-,,
,1000501,Cu,N,,椎名法子,,5,500,500,1313,1313,×,262.6,262.6,-,-,-,-,,
,1000601,Cu,N,,今井加奈,,6,600,600,1575,1575,×,262.5,262.5,-,-,-,-,,
,1000701,Cu,N,,持田亜里沙,,7,700,700,1838,1838,×,262.6,262.6,-,-,-,-,,
,1000801,Cu,N,,三村かな子,,7,820,580,2153,1523,○,307.6,217.6,-,-,-,-,,
,1000901,Cu,N,,奥山沙織,,8,520,920,1365,2415,×,170.6,301.9,-,-,-,-,,
,1001001,Cu,N,,間中美里,,8,920,680,2415,1785,×,301.9,223.1,-,-,-,-,,
,1001101,Cu,N,,小日向美穂,,9,1020,780,2678,2048,○,297.6,227.6,-,-,-,-,,
,1001201,Cu,N,,緒方智絵里,,9,620,1000,1628,2625,○,180.9,291.7,-,-,-,-,,
,1001301,Cu,N,,五十嵐響子,,10,1080,720,2835,1890,×,283.5,189.0,-,-,-,-,,
,1001401,Cu,N,,柳瀬美由紀,,10,900,1100,2363,2888,×,236.3,288.8,-,-,-,-,,
,1001501,Cu,N,,櫻井桃華,,8,640,960,1680,2520,×,210.0,315.0,-,-,-,-,,
,1001601,Cu,N,,江上椿,,9,990,990,2599,2599,×,288.8,288.8,-,-,-,-,,
,1001701,Cu,N,,長富蓮実,,10,1100,900,2888,2363,×,288.8,236.3,-,-,-,-,,
,1001801,Cu,N,[ﾊﾞﾚﾝﾀｲﾝ],椎名法子,,10,1360,840,3570,2205,○,357.0,220.5,-,-,-,-,,
,1001901,Cu,N,,横山千佳,,10,1000,1000,2625,2625,○,262.5,262.5,-,-,-,-,,
,1002001,Cu,N,,関裕美 ,,10,900,1100,2363,2888,○,236.3,288.8,-,-,-,-,,
,1002101,Cu,N,[ｼﾞｭｰﾝﾌﾞﾗｲﾄﾞ],五十嵐響子,,11,1440,1120,3780,2940,○,343.6,267.3,-,-,-,-,,
,1002201,Cu,N,[ﾑｰﾝﾗｲﾄﾊﾞﾆｰ],池袋晶葉,,11,1380,1320,3623,3465,○,329.4,315.0,-,-,-,-,,
,1002301,Cu,N,,太田優,,11,920,1280,2415,3360,×,219.5,305.5,-,-,-,-,,
,1002401,Cu,N,,棟方愛海,,11,1340,940,3518,2468,○,319.8,224.4,-,-,-,-,北海道エリアから,
,1002501,Cu,N,,藤本里奈,,11,900,1380,2363,3623,×,214.8,329.4,-,-,-,-,仙台エリア,
,1002601,Cu,N,,大原みちる,,11,1380,900,3623,2363,×,329.4,214.8,-,-,-,-,愛媛エリア,
